epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,976.442,1.86873,2.19755,2.15043,0.59255,0.67347,0.63776,0.36623,1.27409,1.47997,1.8233,5.99582e-05,5.99582e-05,0.0800739
2,1914.16,1.68858,1.68027,1.99127,0.86,0.94024,0.96258,0.54337,1.28744,1.08789,1.84016,0.000119633,0.000119633,0.0601336
3,2854.45,1.62264,1.4989,1.90577,0.90435,0.96477,0.97509,0.58227,1.28171,1.10813,1.83784,0.000178012,0.000178012,0.040192
4,3786.5,1.58723,1.36767,1.87573,0.9093,0.90816,0.96632,0.53604,1.33386,0.94844,1.85988,0.000234145,0.000234145,0.0202481
5,4722.35,1.5633,1.30887,1.85808,0.97255,0.95918,0.9887,0.62027,1.2771,0.82128,1.75293,0.000287121,0.000287121,0.000301068
6,5655.61,1.5169,1.2298,1.81909,0.88794,0.97025,0.96773,0.67685,1.14291,0.83677,1.61237,0.000280105,0.000280105,0.000280105
7,6592.28,1.51573,1.19678,1.80468,0.96554,0.97959,0.99014,0.62301,1.27434,0.77683,1.76105,0.000271639,0.000271639,0.000271639
8,7530.84,1.49374,1.1297,1.77931,0.97999,0.99967,0.99251,0.64362,1.20823,0.70818,1.71639,0.000261857,0.000261857,0.000261857
9,8463.78,1.47444,1.11118,1.76483,0.97999,0.99929,0.99315,0.64957,1.14673,0.68967,1.64357,0.000250866,0.000250866,0.000250866
10,9399.91,1.45531,1.08474,1.75394,0.98538,1,0.99389,0.65015,1.22834,0.6822,1.77948,0.000238786,0.000238786,0.000238786
11,10337.2,1.44771,1.04778,1.73563,0.97995,0.99762,0.99337,0.65406,1.20548,0.70892,1.69075,0.00022575,0.00022575,0.00022575
12,11269.7,1.42517,1.04085,1.7192,0.96623,0.96939,0.98402,0.67217,1.15906,0.67251,1.65397,0.0002119,0.0002119,0.0002119
13,12204.6,1.42722,1.02253,1.70656,0.98965,0.97603,0.99176,0.66234,1.23284,0.66615,1.73,0.000197389,0.000197389,0.000197389
14,13138.6,1.39423,0.98538,1.68969,0.9863,1,0.995,0.68709,1.1151,0.63062,1.61386,0.000182375,0.000182375,0.000182375
15,14068.5,1.39401,0.98297,1.67312,0.92183,1,0.98086,0.67577,1.12181,0.64849,1.60055,0.000167022,0.000167022,0.000167022
16,15001.5,1.37634,0.95473,1.65574,0.99268,1,0.995,0.6912,1.14663,0.57653,1.61615,0.0001515,0.0001515,0.0001515
17,15933.3,1.38073,0.94498,1.65833,0.88634,1,0.9856,0.61457,1.25948,0.67493,1.70942,0.000135978,0.000135978,0.000135978
18,16869.5,1.34858,0.93178,1.63503,0.99651,1,0.995,0.64088,1.18224,0.61852,1.66896,0.000120625,0.000120625,0.000120625
19,17820.5,1.35499,0.91014,1.63397,1,0.99705,0.995,0.69217,1.12925,0.59181,1.61738,0.000105611,0.000105611,0.000105611
20,18748.2,1.33517,0.88966,1.61742,0.98856,1,0.99157,0.70017,1.11927,0.60122,1.58332,9.10996e-05,9.10996e-05,9.10996e-05
21,19680.9,1.32299,0.8819,1.60126,0.98863,1,0.99399,0.72466,1.0303,0.53858,1.49018,7.725e-05,7.725e-05,7.725e-05
22,20614.7,1.31024,0.87621,1.59718,0.99365,1,0.995,0.67417,1.12802,0.57036,1.59643,6.42139e-05,6.42139e-05,6.42139e-05
23,21546.1,1.31314,0.87446,1.60635,0.99844,1,0.995,0.67649,1.12185,0.57873,1.60931,5.21341e-05,5.21341e-05,5.21341e-05
24,22485,1.31468,0.86649,1.59956,0.99822,1,0.995,0.68422,1.08673,0.56507,1.5528,4.1143e-05,4.1143e-05,4.1143e-05
25,23418.5,1.28668,0.85434,1.57216,0.99797,1,0.995,0.68132,1.11867,0.56073,1.56199,3.1361e-05,3.1361e-05,3.1361e-05
26,24355.1,1.29108,0.84081,1.58109,0.99773,1,0.995,0.70421,1.06544,0.54777,1.52499,2.28952e-05,2.28952e-05,2.28952e-05
27,25291.8,1.29302,0.84042,1.56957,0.99864,1,0.995,0.68861,1.08269,0.55655,1.53986,1.58385e-05,1.58385e-05,1.58385e-05
28,26226.5,1.28508,0.8388,1.56752,0.99893,1,0.995,0.70191,1.06848,0.54436,1.52568,1.02681e-05,1.02681e-05,1.02681e-05
29,27155,1.29209,0.84525,1.57161,0.999,1,0.995,0.70458,1.06035,0.53585,1.51881,6.24508e-06,6.24508e-06,6.24508e-06
30,28088.3,1.26735,0.83056,1.5646,0.99887,1,0.995,0.69804,1.0583,0.53914,1.51531,3.8135e-06,3.8135e-06,3.8135e-06
