epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,436.311,1.6733,3.18181,2.11989,1.32216,0,0.15451,0.27749,0.09554,0.05143,0.15501,0.24894,0.08977,0.04149,1.63888,3.52657,2.30388,1.35336,0,3.31579e-05,3.31579e-05,0.0334542
2,868.076,1.60096,3.02681,2.00572,1.2859,0,0.17023,0.26923,0.10967,0.06188,0.17062,0.26143,0.10661,0.05255,1.56998,3.16883,2.23321,1.28376,0,6.6086e-05,6.6086e-05,0.0168205
3,1294.21,1.5815,2.94232,1.96544,1.28262,0,0.1962,0.2891,0.12552,0.0716,0.20674,0.27969,0.12443,0.06231,1.53411,2.95778,2.17456,1.26942,0,9.74061e-05,9.74061e-05,0.000185125
4,1724.67,1.55616,2.90992,1.94269,1.27228,0,0.20003,0.29484,0.13197,0.07514,0.19536,0.29966,0.12978,0.06496,1.5358,2.94273,2.20883,1.28434,0,9.46048e-05,9.46048e-05,9.46048e-05
5,2151.89,1.53442,2.87832,1.89565,1.25986,0,0.22162,0.27499,0.14263,0.0792,0.22798,0.26194,0.13983,0.06727,1.52399,2.93067,2.15464,1.28926,0,9.05463e-05,9.05463e-05,9.05463e-05
6,2607.09,1.51013,2.84684,1.87363,1.25215,0,0.22168,0.26573,0.13888,0.07883,0.21742,0.26003,0.13413,0.06643,1.52483,2.92144,2.18149,1.29585,0,8.55018e-05,8.55018e-05,8.55018e-05
7,3081.34,1.50596,2.81471,1.84306,1.23847,0,0.21693,0.29642,0.15359,0.08577,0.21025,0.28995,0.14733,0.07383,1.51109,2.90512,2.13445,1.27332,0,7.95954e-05,7.95954e-05,7.95954e-05
8,3547.82,1.49783,2.78852,1.82751,1.24066,0,0.22864,0.30298,0.14577,0.08167,0.22306,0.29422,0.14171,0.07027,1.50005,2.88064,2.17532,1.26461,0,7.29725e-05,7.29725e-05,7.29725e-05
9,4015.54,1.48195,2.78102,1.81712,1.23015,0,0.22514,0.30558,0.15976,0.08926,0.22112,0.29511,0.15345,0.07585,1.49606,2.87572,2.12488,1.26189,0,6.57963e-05,6.57963e-05,6.57963e-05
10,4477.77,1.47818,2.77474,1.82573,1.22925,0,0.23566,0.29303,0.16043,0.09016,0.23143,0.28454,0.15301,0.07648,1.49457,2.86512,2.11331,1.25705,0,5.82435e-05,5.82435e-05,5.82435e-05
11,4934.59,1.46891,2.73848,1.78219,1.22244,0,0.24889,0.29279,0.16351,0.09252,0.25674,0.27886,0.15697,0.07881,1.48235,2.85512,2.08252,1.25301,0,5.05e-05,5.05e-05,5.05e-05
12,5393.27,1.46715,2.74147,1.78292,1.2187,0,0.29045,0.26983,0.16386,0.09254,0.2892,0.26299,0.15623,0.07896,1.48066,2.85058,2.13177,1.25708,0,4.27565e-05,4.27565e-05,4.27565e-05
13,5854.02,1.45792,2.70531,1.76969,1.21464,0,0.26223,0.29127,0.16832,0.0949,0.27109,0.2755,0.16171,0.08123,1.48737,2.844,2.10583,1.25574,0,3.52037e-05,3.52037e-05,3.52037e-05
14,6312.09,1.46053,2.72331,1.75599,1.21366,0,0.27504,0.29297,0.17991,0.09943,0.26266,0.28734,0.16913,0.08376,1.47819,2.82776,2.0564,1.2498,0,2.80275e-05,2.80275e-05,2.80275e-05
15,6745.59,1.45055,2.70094,1.74432,1.21085,0,0.2647,0.30532,0.1787,0.09871,0.26504,0.29421,0.16982,0.08435,1.47481,2.83338,2.08103,1.24661,0,2.14046e-05,2.14046e-05,2.14046e-05
16,7178.1,1.4462,2.70208,1.7359,1.20538,0,0.27117,0.29931,0.1826,0.10204,0.27412,0.28082,0.17251,0.08603,1.47147,2.82452,2.07514,1.24605,0,1.54982e-05,1.54982e-05,1.54982e-05
17,7615.24,1.44979,2.71062,1.73293,1.20511,0,0.2618,0.29424,0.17803,0.10053,0.26642,0.28138,0.17096,0.08429,1.47328,2.8251,2.08276,1.24654,0,1.04537e-05,1.04537e-05,1.04537e-05
18,8052.95,1.42607,2.66871,1.72507,1.20215,0,0.25979,0.3014,0.17812,0.1005,0.28448,0.27734,0.17252,0.08508,1.46908,2.82525,2.07226,1.24908,0,6.39518e-06,6.39518e-06,6.39518e-06
19,8492.51,1.44111,2.69543,1.73278,1.206,0,0.26331,0.29161,0.17938,0.10072,0.2838,0.27598,0.17278,0.08591,1.46769,2.82383,2.0734,1.24583,0,3.4227e-06,3.4227e-06,3.4227e-06
20,8929.55,1.43227,2.68349,1.72333,1.19958,0,0.26186,0.29495,0.17971,0.10141,0.28288,0.27528,0.17434,0.08662,1.46824,2.82058,2.07196,1.24593,0,1.60943e-06,1.60943e-06,1.60943e-06
